run_date,uid,loai,order_id,order_no_uid,remaining,last_study,idle_ngay,don_chua_kich_hoat,den_han_thang,sale_ban_don,team_sale_ban,sale_quan_ly,team_sale_quan_ly,teacher
2026-09-05,3102140118,Im lặng rời bỏ,414888238772482,1.0,5,2024-09-27 21:30:00,707,,,盖亚楠,Other,Ho Thi Thanh,Inhouse 1,Ellie Advisor
2026-09-05,3105983145,Im lặng rời bỏ,458365142106380,2.0,1,2022-04-12 21:00:00,1606,,,An,Other,Dao Thi Trang,Inhouse 1,Ms Laura
2026-09-05,3120196194,Đóng băng chủ động,420979745155332,2.0,0,2021-11-21 15:00:00,1748,,,彭胜君,Other,Ta Thuy Van,Inhouse 1,Dao Thi Trang
2026-09-05,3126404269,Im lặng rời bỏ,424389886079236,1.0,3,2021-07-11 20:00:00,1881,,,彭胜君,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3128886861,Đóng băng chủ động,440105776449802,1.0,7,2021-10-31 12:00:00,1769,,,彭胜君,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3129477880,Im lặng rời bỏ,443636828020994,1.0,1,2021-10-09 12:30:00,1791,,,黄黎高原,Other,Ho Thi Thanh,Inhouse 1,Ms Laura
2026-09-05,3130585201,Im lặng rời bỏ,446540152639754,1.0,3,2023-06-25 10:00:00,1167,,,Truc,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3132552401,Đóng băng chủ động,614235756013824,1.0,24,2025-05-18 19:30:00,474,,,Le Kim Chi,Inhouse 1,Le Kim Chi,Inhouse 1,Thao Chi Advisor
2026-09-05,3133107392,Im lặng rời bỏ,488045657977100,1.0,1,2022-09-01 12:00:00,1464,,,Nen,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3134840444,Đóng băng chủ động,445960660785410,1.0,0,2021-10-19 18:00:00,1781,,,Nghia,Other,Nguyen Thi Phuong,Other,Dao Thi Trang
2026-09-05,3136584519,Đóng băng chủ động,463506477244688,3.0,0,2022-06-13 21:30:00,1544,,,黎氏清水,Other,Le Thi Thu Yen,Inhouse 1,Dao Thi Trang
2026-09-05,3137193806,Im lặng rời bỏ,502022076164364,1.0,1,2023-02-15 19:00:00,1297,,,Hau,DN,Dao Thi Trang,Inhouse 1,Thao Chi Advisor
2026-09-05,3144266194,Im lặng rời bỏ,454425242155268,1.0,39,2024-07-27 12:30:00,769,,,Thuy,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3144336521,Im lặng rời bỏ,431079595217156,1.0,2,2025-04-02 20:30:00,520,,,武氏茹月,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3146517510,Đóng băng chủ động,435000804616458,1.0,0,2021-10-15 20:00:00,1785,,,孙浴镡,Other,Dao Thi Trang,Inhouse 1,Dao Thi Trang
2026-09-05,3146937315,Im lặng rời bỏ,429679132725506,1.0,2,2021-08-14 10:00:00,1847,,,阮公元,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3147569952,Đóng băng chủ động,445613110890756,1.0,0,2022-05-13 20:00:00,1575,,,黄氏庆璃,Other,Nguyen Thi Hoai Linh,Other,Dao Thi Trang
2026-09-05,3148447470,Đóng băng chủ động,435182916686090,2.0,0,2021-09-26 21:30:00,1804,,,愈氏清水,Other,Do Thi Hang,Inhouse 1,Dao Thi Trang
2026-09-05,3149663071,Đóng băng chủ động,446472771715338,1.0,7,2021-11-20 17:30:00,1749,,,阮氏金玲,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3149761193,Đóng băng chủ động,448272786983170,1.0,0,2021-10-31 21:00:00,1769,,,梁氏蓉,Other,Tran Thi Son,Inhouse 1,Dao Thi Trang
2026-09-05,3150386695,Đóng băng chủ động,443865080211714,1.0,0,2021-11-23 15:00:00,1746,,,陈氏玄,Other,Dao Thi Trang,Inhouse 1,Dao Thi Trang
2026-09-05,3151551767,Im lặng rời bỏ,467905004704014,1.0,1,2022-03-29 21:00:00,1620,,,愈氏清水,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3151842897,Đóng băng chủ động,446310018242820,1.0,8,2022-03-25 21:30:00,1624,,,黄黎高原,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3152193215,Im lặng rời bỏ,434840433705220,1.0,1,2021-10-28 11:30:00,1772,,,黎氏清水,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3152805014,Đóng băng chủ động,443812943177988,3.0,0,2024-01-10 20:30:00,968,,,THAO,Other,Ta Thuy Van,Inhouse 1,Dao Thi Trang
2026-09-05,3156341764,Đóng băng chủ động,656848514007300,4.0,19,2025-10-14 19:00:00,325,TMP_3156341764_20251029,,Tran Thi Thu Hang,Inhouse 1,Le Thi Lan Anh,Inhouse 1,Ellie Advisor
2026-09-05,3157388909,Đóng băng chủ động,448296096467202,1.0,142,2021-11-27 21:00:00,1742,,,黄氏庆璃,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3158844226,Đóng băng chủ động,451315231561986,3.0,0,2022-02-11 14:30:00,1666,,,梁氏蓉,Other,Vo Thi Thom,Offline Team HaNoi,Dao Thi Trang
2026-09-05,3159338740,Đóng băng chủ động,441889886816522,2.0,0,2022-10-15 21:30:00,1420,,,黄黎高原,Other,Ta Thuy Van,Inhouse 1,Dao Thi Trang
2026-09-05,3159639149,Đóng băng chủ động,438856957853962,1.0,0,2021-10-26 14:00:00,1774,,,彭胜君,Other,Hau,DN,Dao Thi Trang
2026-09-05,3160758556,Đóng băng chủ động,441531339041026,2.0,1,2022-05-27 18:30:00,1561,,,彭胜君,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3161768268,Đóng băng chủ động,435665662970116,1.0,0,2021-08-22 17:30:00,1839,,,愈氏清水,Other,Vu Cam Ly,Inhouse 2,Dao Thi Trang
2026-09-05,3162961764,Đóng băng chủ động,436203254692098,1.0,0,2021-11-12 16:00:00,1757,,,愈氏清水,Other,Dinh Luong Nhu Ngoc,Other,Dao Thi Trang
2026-09-05,3163171233,Đóng băng chủ động,436203518847234,1.0,0,2022-01-05 17:30:00,1703,,,愈氏清水,Other,Le Hung Cuong,Inhouse 2,Dao Thi Trang
2026-09-05,3163411203,Đóng băng chủ động,437075236704522,1.0,0,2021-09-22 21:00:00,1808,,,HAO,Other,Dao Thi Trang,Inhouse 1,Dao Thi Trang
2026-09-05,3163758481,Đóng băng chủ động,444739791982852,2.0,1,2022-03-20 16:00:00,1629,,,An,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3163806845,Đóng băng chủ động,436606419650820,1.0,0,2021-10-03 21:30:00,1797,,,黎氏清水,Other,Le Hung Cuong,Inhouse 2,Dao Thi Trang
2026-09-05,3163862857,Đóng băng chủ động,441749146673412,2.0,0,2021-10-26 20:00:00,1774,,,陈氏玄,Other,Huynh Minh Giang,DN,Dao Thi Trang
2026-09-05,3164007469,Đóng băng chủ động,443128145496324,1.0,0,2021-11-03 21:30:00,1766,,,愈氏清水,Other,Dao Thi Trang,Inhouse 1,Dao Thi Trang
2026-09-05,3164108260,Đóng băng chủ động,440132478148866,2.0,89,2022-12-22 20:30:00,1352,,,彭胜君,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3164251618,Đóng băng chủ động,700761247004928,1.0,65,2025-11-05 18:30:00,303,,,Le To Hai My,Inhouse 1,Le To Hai My,Inhouse 1,Ms Laura
2026-09-05,3165559604,Đóng băng chủ động,444411348142346,1.0,0,2021-12-19 20:00:00,1720,,,THAO,Other,Le Hung Cuong,Inhouse 2,Dao Thi Trang
2026-09-05,3165670561,Đóng băng chủ động,439939602723082,1.0,0,2022-07-23 18:30:00,1504,,,彭胜君,Other,Ta Thuy Van,Inhouse 1,Nguyen Lan Anh
2026-09-05,3165697075,Đóng băng chủ động,446642600909058,1.0,0,2021-11-16 17:00:00,1753,,,An,Other,Le Thi Lan Anh,Inhouse 1,Dao Thi Trang
2026-09-05,3165751431,Đóng băng chủ động,438194749901060,1.0,0,2021-10-18 20:30:00,1782,,,彭胜君,Other,Tran Thi Son,Inhouse 1,Dao Thi Trang
2026-09-05,3166105292,Đóng băng chủ động,488613701255438,2.0,0,2022-07-15 21:00:00,1512,,,Ho,Other,Le Thi Thu Yen,Inhouse 1,Dao Thi Trang
2026-09-05,3166423564,Đóng băng chủ động,438676864442628,1.0,0,2022-03-25 20:30:00,1624,,,彭胜君,Other,Dao Thi Trang,Inhouse 1,Dao Thi Trang
2026-09-05,3166698371,Đóng băng chủ động,438181585062146,1.0,0,2021-10-23 20:30:00,1777,,,彭胜君,Other,Jittralai.Puii,Other,Dao Thi Trang
2026-09-05,3166962514,Đóng băng chủ động,439269987053828,1.0,0,2021-11-13 17:30:00,1756,,,彭胜君,Other,Dao Thi Trang,Inhouse 1,Dao Thi Trang
2026-09-05,3167328231,Đóng băng chủ động,439123630985476,1.0,0,2022-06-03 17:00:00,1554,,,彭胜君,Other,Le Thi Le,Other,Dao Thi Trang
2026-09-05,3167370697,Đóng băng chủ động,439205441798404,1.0,0,2022-01-08 19:30:00,1700,,,彭胜君,Other,Nguyen Thi Phuong,Other,Dao Thi Trang
2026-09-05,3167457503,Đóng băng chủ động,438770495205642,1.0,0,2022-05-10 18:30:00,1578,,,彭胜君,Other,Nguyen Kieu Trang,Inhouse 1,Dao Thi Trang
2026-09-05,3167586657,Đóng băng chủ động,439431869081866,1.0,0,2021-08-27 19:30:00,1834,,,彭胜君,Other,Nguyen Thi Phuong,Other,Dao Thi Trang
2026-09-05,3167719500,Đóng băng chủ động,440130831771906,1.0,0,2022-02-27 14:00:00,1650,,,彭胜君,Other,Nguyen Thi Phuong,Other,Dao Thi Trang
2026-09-05,3168386352,Đóng băng chủ động,466148357273870,2.0,1,2022-03-12 21:00:00,1637,,,梁氏蓉,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3168534647,Đóng băng chủ động,439471705557252,1.0,3,2021-09-23 17:00:00,1807,,,彭胜君,Other,Le To Hai My,Inhouse 1,Ms Laura
2026-09-05,3168805402,Đóng băng chủ động,439730829367562,1.0,8,2021-09-12 18:30:00,1818,,,彭胜君,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3169579344,Đóng băng chủ động,440622316128522,1.0,0,2021-10-16 14:00:00,1784,,,彭胜君,Other,Tran Thi Son,Inhouse 1,Dao Thi Trang
2026-09-05,3169631538,Đóng băng chủ động,440309053090058,1.0,0,2021-09-23 21:30:00,1807,,,彭胜君,Other,Nguyen Thi Phuong,Other,Dao Thi Trang
2026-09-05,3169643024,Đóng băng chủ động,440309148434690,1.0,6,2021-10-31 21:00:00,1769,,,彭胜君,Other,Ho Thi Thanh,Inhouse 1,Ellie Advisor
2026-09-05,3169644592,Im lặng rời bỏ,501142437859596,2.0,3,2023-05-07 17:00:00,1216,,,Hong,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3169756671,Đóng băng chủ động,441223658479874,1.0,0,2021-10-08 21:00:00,1792,,,An,Other,Dao Thi Trang,Inhouse 1,Dao Thi Trang
2026-09-05,3169770271,Đóng băng chủ động,440327819426052,1.0,0,2021-09-14 20:30:00,1816,,,彭胜君,Other,Le Thi Thu Yen,Inhouse 1,Dao Thi Trang
2026-09-05,3169998050,Đóng băng chủ động,440511720984836,1.0,0,2021-09-19 21:00:00,1811,,,彭胜君,Other,Nguyen Thi Phuong,Other,Dao Thi Trang
2026-09-05,3170112118,Đóng băng chủ động,440644430422274,1.0,0,2021-11-18 17:00:00,1751,,,彭胜君,Other,Mai Thi Lien,Inhouse 2,Dao Thi Trang
2026-09-05,3170383451,Đóng băng chủ động,442452618492162,1.0,0,2021-10-17 09:30:00,1783,,,黄氏庆璃,Other,Nguyen Thi Phuong,Other,Dao Thi Trang
2026-09-05,3170441585,Đóng băng chủ động,443127857780994,1.0,0,2021-10-24 21:30:00,1776,,,阮氏金玲,Other,Tran Thi Thu Hang,Inhouse 1,Dao Thi Trang
2026-09-05,3170707154,Im lặng rời bỏ,441351215720708,1.0,1,2021-09-29 17:00:00,1801,,,Nen,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3170779048,Đóng băng chủ động,441167175713028,1.0,0,2021-09-21 10:30:00,1809,,,愈氏清水,Other,Dao Thi Trang,Inhouse 1,Dao Thi Trang
2026-09-05,3170922119,Đóng băng chủ động,441374295671044,1.0,140,2021-10-23 10:00:00,1777,,,Nen,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3171064324,Đóng băng chủ động,441221135040778,1.0,0,2021-10-29 18:30:00,1771,,,黎氏清水,Other,Dao Thi Trang,Inhouse 1,Nguyen Lan Anh
2026-09-05,3171117754,Đóng băng chủ động,441395145130250,1.0,0,2021-10-28 21:00:00,1772,,,彭胜君,Other,Ta Thuy Van,Inhouse 1,Dao Thi Trang
2026-09-05,3171232834,Đóng băng chủ động,441681698711818,1.0,0,2022-01-22 17:00:00,1686,,,梁氏蓉,Other,Tran Thi Son,Inhouse 1,Nguyen Lan Anh
2026-09-05,3171456149,Đóng băng chủ động,442226431291658,1.0,0,2022-01-11 20:30:00,1697,,,阮氏金玲,Other,Tran Thi Son,Inhouse 1,Dao Thi Trang
2026-09-05,3171485798,Đóng băng chủ động,441751175250178,1.0,0,2021-09-16 21:00:00,1814,,,An,Other,Nguyen Thi Phuong,Other,Dao Thi Trang
2026-09-05,3171522103,Im lặng rời bỏ,452326545035522,2.0,1,2022-06-11 10:30:00,1546,,,黎氏清水,Other,Dao Thi Trang,Inhouse 1,Ellie Advisor
2026-09-05,3171773054,Đóng băng chủ động,461904569196816,2.0,0,2022-07-05 20:30:00,1522,,,梁氏蓉,Other,Dao Thi Trang,Inhouse 1,Ms Laura
2026-09-05,3172120537,Đóng băng chủ động,444883788837130,1.0,0,2021-10-18 19:30:00,1782,,,Thuy,Other,Le Hung Cuong,Inhouse 2,Dao Thi Trang
